City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Komsomolskiy,RU,2020-01-04 20:06:48,67.55,63.78,25.43,90,78,17.94
133,Manggar,ID,2020-01-04 20:06:48,-2.88,108.27,82.06,80,44,19.95
134,Khatanga,RU,2020-01-04 20:06:48,71.98,102.47,-18.11,85,0,8.79
135,Jacareacanga,BR,2020-01-04 20:06:49,-6.22,-57.76,82.53,68,64,2.44
136,Victoria,BN,2020-01-04 20:03:42,5.28,115.24,82.4,78,75,8.05
137,San Jose,HN,2020-01-04 20:04:12,14.25,-87.96,77.9,52,100,11.21
138,Epitalion,GR,2020-01-04 20:06:49,37.63,21.5,44.6,87,20,4.7
139,Lebu,ET,2020-01-04 20:06:50,8.96,38.73,60.8,55,20,6.93
140,Boljoon,PH,2020-01-04 20:06:50,9.63,123.48,79.25,79,1,21.88
141,Lata,IN,2020-01-04 20:06:50,30.78,78.62,-0.81,62,39,9.95
142,Muyezerskiy,RU,2020-01-04 20:06:50,63.93,31.65,24.15,91,100,9.6
143,Codrington,AU,2020-01-04 20:06:50,-28.95,153.24,71.6,93,0,5.66
144,Ningbo,CN,2020-01-04 20:06:51,29.88,121.54,53.01,100,90,4.47
145,Broken Hill,AU,2020-01-04 20:06:51,-31.97,141.45,68.0,37,41,24.16
146,Filadelfia,PY,2020-01-04 20:06:51,-22.35,-60.04,97.32,16,0,8.84
147,Torbay,CA,2020-01-04 20:05:26,47.66,-52.73,35.01,98,90,14.99
148,Bensonville,LR,2020-01-04 20:06:52,6.45,-10.61,75.2,83,20,1.95
149,Nanortalik,GL,2020-01-04 20:06:52,60.14,-45.24,30.34,89,100,15.46
150,Lavrentiya,RU,2020-01-04 20:06:52,65.58,-170.99,-11.18,85,78,11.18
151,Pizhma,RU,2020-01-04 20:06:52,57.86,47.12,28.6,95,100,9.26
152,Saint-Augustin,CA,2020-01-04 20:03:45,45.63,-73.98,33.01,92,90,12.75
153,Yarmouth,CA,2020-01-04 20:06:53,43.84,-66.12,41.0,80,90,2.24
154,Novorzhev,RU,2020-01-04 20:06:53,57.03,29.33,32.05,87,52,13.15
155,Majene,ID,2020-01-04 20:06:53,-3.54,118.97,76.01,83,100,4.83
156,Chernyshevskiy,RU,2020-01-04 20:06:53,63.01,112.47,-7.11,99,96,3.65
157,Atuona,PF,2020-01-04 20:06:54,-9.8,-139.03,81.55,68,5,9.24
158,Saint George,GR,2020-01-04 20:06:54,39.45,22.34,44.01,64,100,5.82
