City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
419,Tiarei,PF,78.8,few clouds,-17.53,-149.33,Le Rocher de Tahiti
422,Kalmunai,LK,82.09,broken clouds,7.42,81.82,VS Villa
426,Itarema,BR,75.29,overcast clouds,-2.92,-39.92,Windvillage
429,Cairns,AU,82.99,broken clouds,-16.92,145.77,Mantra Trilogy Cairns
434,Qandala,SO,79.3,clear sky,11.47,49.87,
437,Noumea,NC,81.0,clear sky,-22.28,166.46,Hôtel Le Lagon
443,Ternate,PH,86.0,few clouds,14.29,120.72,Puerto Azul Clubhouse
445,Samarai,PG,79.66,overcast clouds,-10.62,150.67,Nuli Sapi
449,San Marcos,GT,71.6,clear sky,14.97,-91.79,Hospedaje La Villa
451,Pekan,MY,87.8,scattered clouds,3.49,103.39,Pekan Budget Hotel
457,Calabozo,VE,69.33,clear sky,8.92,-67.43,Hotel Giardini
460,Charters Towers,AU,81.01,scattered clouds,-20.07,146.27,Cattleman's Rest Motor Inn
461,Kavaratti,IN,87.8,few clouds,10.57,72.64,Hotels in Lakshadweep Islands
466,Richards Bay,ZA,84.27,clear sky,-28.77,32.06,BON Hotel Waterfront Richards Bay
468,Codajas,BR,74.95,overcast clouds,-3.84,-62.06,Hotel Tamires
473,Bonthe,SL,76.42,scattered clouds,7.53,-12.5,Bonthe Holiday Village
477,Anloga,GH,71.6,haze,5.79,0.9,BeatzWave Studios
481,Les Cayes,HT,79.05,few clouds,18.19,-73.75,Villa Orphee
483,Santa Isabel Do Rio Negro,BR,72.52,broken clouds,-0.41,-65.02,Hotel GSA
484,Phan Thiet,VN,85.95,scattered clouds,10.93,108.1,Hotel Saigon-PT
486,Botshabelo,ZA,77.0,clear sky,-29.23,26.73,lapeng lodge and guest house
487,Port Moresby,PG,86.0,scattered clouds,-9.47,147.16,Lamana Hotel
493,Mangrol,IN,72.27,clear sky,25.33,76.51,Mehra printing press
497,Broken Hill,AU,71.6,scattered clouds,-31.97,141.45,Royal Exchange Hotel
499,Bafata,GW,67.5,clear sky,12.17,-14.67,Apartamentos CUBURNEL
500,Tuy Hoa,VN,76.15,overcast clouds,13.08,109.3,CenDeluxe Hotel Tuy Hoa
501,Ibra,OM,76.62,scattered clouds,22.69,58.55,Ibra Motel
509,Sola,TZ,79.07,broken clouds,-3.17,33.8,Peace Hotel
511,Bakel,SN,67.06,clear sky,14.9,-12.46,Hôtel islam
512,Radhanpur,IN,78.58,clear sky,23.83,71.61,YASH HOTEL
521,Mareeba,AU,82.99,broken clouds,-16.99,145.42,Mareeba Country Caravan Park
524,Wangaratta,AU,66.0,light intensity shower rain,-36.36,146.32,Quality Hotel Wangaratta Gateway
531,Mogadishu,SO,86.0,few clouds,2.04,45.34,Olympic Hotel
